writing	reading	meaning	level
最早	もはや	now; already; (with negative verbs) no longer	N1
模範	もはん	model	N1
模倣	もほう	imitation, copying; to imitate, to copy	N1
揉める	もめる	disagree, bicker; worry, fret	N1
腿	もも	a thigh; knees	N1
催す	もよおす	hold (a meeting), throw (a celebration), give (a party); to arouse; to stimulate emotions	N1
漏らす	もらす	reveal, let leak; omit, leave out	N1
盛り上がる	もりあがる	to bulge; to swell; to rise up; to increase in spirits, vigor, and emotion; to become roused and excited; to get psyched; to get pumped; to get fired up	N1
漏る	もる	synonym of 漏れる (moreru)	N1
漏れる	もれる	to leak (such as a liquid, or information); to be omitted; to beautify	N1
脆い	もろい	fragile, vulnerable, weak; easily emotionally moved	N1
諸に	もろに	completely, all the way	N1
問	もん	counter for questions, problems	N1
矢	や	an arrow; a wedge used to break hard objects such as wood or stone; a 家紋 (kamon, “family crest”) with various designs of arrows; a place name	N1
哉	かな	expression of exclamation or excitement	N1
喧しい	やかましい	noisy	N1
野外	やがい	the open air, being outdoors; field(s); outskirts	N1
軈て	やがて	eventually, finally, in the end; not before long, soon; almost, nearly (usually with time phrases); as it is, unchanging; immediately; exactly	N1
夜行	やぎょう	clipping of 百鬼夜行 (hyakki yagyō)	N1
役職	やくしょく	official position, post; executive position	N1
役立つ	やくだつ	benefit (be or provide a benefit to)	N1
役場	やくば	government office, public office	N1
夜具	やぐ	bedding	N1
優	やさ	a person with lithe movements; kind (adj.), favor; good, excellent, surpass, superior; the best possible grade on school results; rich, wealthy; a sufficient amount for a certain thing; tenderness, gentleness; actor; enough, amply; easily, skillfully; A (letter grade); excellence; gentleness; a female given name; a male given name	N1
屋敷	やしき	estate, grounds, mansion, residence	N1
養う	やしなう	rear, maintain; cultivate	N1
社	やしろ	short for 会社 (kaisha): company, co.; aboriginal settlement	N1
野心	やしん	ambition	N1
易い	やすい	easy to do, easy; easy to (verb); happens easily, tends to (verb)	N1
安っぽい	やすっぽい	cheap	N1
休める	やすめる	give something a rest; stop doing something; take a rest; lay soil fallow	N1
野生	やせい	being or growing wild; be or grow wild	N1
矢鱈	やたら	random; randomly, rashly, thoughtlessly, absurdly, indiscriminately	N1
夜中	やちゅう	nighttime, the night, the period of time during the night	N1
奴	やっこ	a thing, an object; (derogatory, familiar) a person	N1
やっ付ける	やっつける	to criticise; to beat up; to attack; to let someone have it; to defeat; to kill	N1
矢っ張り	やっぱり	alternative form of やはり (yahari)	N1
野党	やとう	opposition (political party against the ruling party)	N1
病	やまい	have a disease; disease; being stiff and not able to move; difficult; suffer; make one suffer; disease, illness; a bad habit	N1
闇	やみ	the dark, darkness	N1
病む	やむ	to fall ill; to be diseased; to be sick (with); to worry; to fret; to be injured	N1
止むを得ない	やむをえない	have no choice but to; it can't be helped; it's inevitable	N1
稍	やや	slightly; Interjection of surprise.; baby	N1
ややこしい	ややこしい	complicated, complex, intricate	N1
遣り通す	やりとおす	to do through; to do (something) completely without giving up midway	N1
やり遂げる	やりとげる	alternative form of 遣り遂げる	N1
和らげる	やわらげる	to soften; to relieve; to ease; to appease; to pacify	N1
優位	ゆうい	superior; superiority	N1
憂鬱	ゆううつ	depressed, gloomy, melancholic; thick, dense; depression, dejection, gloom, melancholy	N1
有益	ゆうえき	helpful, beneficial, constructive, useful; helpfulness, usefulness	N1
優越	ゆうえつ	superiority; be superior to; surpass	N1
勇敢	ゆうかん	brave, courageous; bravery, courage	N1
有機	ゆうき	the state or quality of being organic	N1
夕暮れ	ゆうぐれ	dusk, evening twilight, evening when the sun goes down	N1
融資	ゆうし	financing, loan	N1
有する	ゆうする	have, possess	N1
融通	ゆうずう	lending (money), accommodation, adaptability, versatility, finance	N1
優勢	ゆうせい	superior; predominant; superiority; predominance	N1
優先	ゆうせん	priority; take priority	N1
誘導	ゆうどう	guidance; leading; induction; guide, lead, coax; induce	N1
優美	ゆうび	graceful, refined, elegant; grace, refinement, elegance	N1
有望	ゆうぼう	promising, bright; promise, potential	N1
遊牧	ゆうぼく	nomadism	N1
夕焼け	ゆうやけ	afterglow, evening glow, sunset	N1
有力	ゆうりょく	powerful; likely	N1
幽霊	ゆうれい	a ghost, a phantom	N1
誘惑	ゆうわく	temptation, seduction, snare; to tempt, to entice, to seduce	N1
揺さぶる	ゆさぶる	to (make something) shake; to cause a stir, to cause an upset	N1
茹でる	ゆでる	to boil	N1
ゆとり	ゆとり	margin, leeway, elbow room; person educated with ゆとり教(きょう)育(いく) (yutori kyōiku, “relaxed education”)	N1
指差す	ゆびさす	point (at, to)	N1
弓	ゆみ	a bow:; a bow for shooting arrows; a bow for playing a stringed instrument such as a violin or cello; archery; a type of kagura (sacred Shinto song and dance) intended to drive away evil; short for 破(は)魔(ま)弓(ゆみ) (hama yumi): a ceremonial archery bow with the power to dispel evil; a bow shape, a curve; a bow-shaped tool used to beat ginned cotton into a softer and finer textile	N1
揺らぐ	ゆらぐ	to waver, to sway back and forth; to shake, to tremble; to feel shaken	N1
緩む	ゆるむ	slacken, become loose; become lax; soften; slow; thin; relax, let one's guard down	N1
緩める	ゆるめる	to loosen; to make (a knot, rope, etc) loose; to be off guard; to be inattentive; to make less strict; to make less harsh; to make the facial expression less serious/unfriendly; to slow down; to make less inclined/sloped	N1
緩やか	ゆるやか	gentle, mild, lenient, slack	N1
世	よ	world, society; this world, this life; generation, age, era; lifetime; lifespan; time of year, season; relationship between a man and a woman; period of a person leading as a patriarch	N1
好い	よい	good	N1
要因	よういん	primary factor	N1
溶液	ようえき	chemical solution	N1
用件	ようけん	things that need to be done; business; matter	N1
養護	ようご	nursing; conservation; to nurse; to provide with protection and care	N1
用紙	ようし	form (document to be filled)	N1
様式	ようしき	style, form	N1
要する	ようする	to require	N1
要請	ようせい	an official request (of something that has to be done); to request officially for something or to do something that has to be done	N1
養成	ようせい	training; to train	N1
様相	ようそう	aspect; phase	N1
用品	ようひん	article, utensil, supply	N1
洋風	ようふう	Western style	N1
用法	ようほう	usage	N1
要望	ようぼう	a request (of something the speaker wants to be done); request, ask (something the speaker wants to be done)	N1
余暇	よか	free time; leisure; spare time	N1
予感	よかん	prescience, premonition, hunch; foreboding; have a feeling, hunch, premonition; have a foreboding	N1
余興	よきょう	extra entertainment, sideshow	N1
預金	よきん	deposit (money placed in an account); bank account; to make a deposit of money (into a bank)	N1
抑圧	よくあつ	repression; to repress; to stifle	N1
浴室	よくしつ	bathroom (a room where baths or showers are taken)	N1
抑制	よくせい	suppression; control, suppress, inhibit, curb	N1
欲深い	よくふかい	greedy	N1
欲望	よくぼう	desire, lust, greed	N1
寄越す	よこす	to send; to hand over	N1
横綱	よこづな	yokozuna (the highest rank in sumo-wrestling or a person holding the title)	N1
葦	よし	縦し: so-so; even if; 良し, 善し, 好し, 吉し, 佳し, 宜し: all right! OK!; 由, 因, 縁: reason, significance; ヨシ, 葦, 蘆, 葭, 芦: alternative form of あし (ashi); 止し: quitting; 余子: any child who is not the direct heir; any other person, someone else; 余資, 余貲: extra capital, unused assets, remaining property; 余矢: in trigonometry, the coversine(the difference between one and the sine of an angle: 1 - sin(angle)); 喜, 義: a male given name; 愛: a female given name	N1
善し悪し	よしあし	right or wrong; good or bad; quality; suitability; having both merits and demerits; having both advantages and disadvantages	N1
予想	よそう	expectation; anticipation; a forecast; an estimate; conjecture, hypothesis; expect; anticipate; estimate	N1
余所見	よそみ	looking off; looking at something else; pretending to be looking at something else; an outside look; other people's perspective	N1
余地	よち	room, margin, space, vacant; leeway; room	N1
依って	よって	因って, 依って, 依て, 仍て: as a result; consequently; 因って, 依って: conjunctive form of よる (yoru)	N1
余程	よほど	very much, very many, a great deal of; greatly, exceptionally; about to finish	N1
余っ程	よっぽど	alternative form of 余程 (yohodo)	N1
与党	よとう	the ruling political party	N1
呼び止める	よびとめる	to call somebody to stop	N1
夜更かし	よふかし	staying up late	N1
夜更け	よふけ	late at night	N1
読み上げる	よみあげる	to read aloud; to finish reading	N1
寄り掛かる	よりかかる	to lean against; to lean upon; to depend on; to rely on	N1
弱まる	よわまる	to become weak; to weaken	N1
弱める	よわめる	to make weak; to weaken	N1
弱る	よわる	to weaken, to wilt, to wither; to be troubled; to be dejected, downcast; to be in a bind; to be at a loss, confused	N1
来場	らいじょう	attendance; to attend	N1
酪農	らくのう	dairy farm	N1
落下	らっか	falling, a fall; to fall	N1
楽観	らっかん	optimism; be optimistic, look on the bright side	N1
濫用	らんよう	abuse, misuse, misappropriation, using to excess	N1
理屈	りくつ	logic; reasoning	N1
利根	りこん	naturally intelligent; natural intelligence	N1
利子	りし	interest	N1
利潤	りじゅん	profit	N1
理性	りせい	reason; logic; rationality	N1
利息	りそく	interest	N1
立体	りったい	something that occupies three-dimensional space (is not two-dimensional); solid	N1
立法	りっぽう	legislation; to enact legislation	N1
利点	りてん	advantage, merit	N1
略語	りゃくご	abbreviation (shortened or contracted form of a word or phrase)	N1
略奪	りゃくだつ	a looting, plunder, robbery; loot, plunder, rob	N1
流	りゅう	the flow of water or something like water; art forms, methods, styles, and techniques peculiar to a person or house	N1
流通	りゅうつう	circulation (of money or information); distribution; circulate; distribute; be negotiable	N1
了	りょう	end; concluded	N1
料	りょう	fee, cost; material of something	N1
領域	りょういき	realm, territory, occupied area; field (area of expertise); domain	N1
了解	りょうかい	understanding, comprehension; consent, agreement; roger (over radio etc.), OK; understand, comprehend; agree, consent	N1
領海	りょうかい	territorial waters	N1
両極	りょうきょく	north and south poles; anode and cathode; both extremes	N1
良好	りょうこう	good, fine, satisfactory, excellent; a satisfactory condition	N1
良識	りょうしき	good sense	N1
良質	りょうしつ	high-quality; good quality	N1
了承	りょうしょう	acknowledgment, understanding; to acknowledge	N1
良心	りょうしん	conscience	N1
領地	りょうち	territory	N1
領土	りょうど	territory, realm, dominion	N1
両立	りょうりつ	coexistence; to be compatible with	N1
